fam,x,y,z
2_11_1,643455.882,3408667.118,67.500
2_11_8,643449.823,3408669.176,66.134
2_11_15,643443.671,3408670.913,66.752
2_15_14,643437.371,3408671.818,67.467
2_15_19,643431.473,3408673.782,67.762
2_15_5,643425.509,3408675.905,65.438
2_15_13,643414.458,3408679.365,61.546
2_16_3,643412.448,3408671.293,68.048
2_20_10,643406.455,3408673.160,61.339
2_16_8,643417.596,3408670.212,64.103
2_16_16,643429.579,3408666.701,68.108
2_16_20,643435.466,3408665.503,67.495
2_12_7,643441.367,3408663.316,67.694
2_12_10,643447.106,3408661.222,59.084
2_12_12,643458.683,3408659.238,67.307
2_13_4,643446.433,3408749.710,54.143
2_13_3,643452.155,3408748.893,57.564
2_13_5,643458.087,3408746.738,58.306
2_13_11,643445.688,3408743.060,54.456
2_13_12,643443.467,3408736.453,58.034
2_6_4,643495.839,3408706.890,63.897
2_6_10,643494.132,3408700.227,63.730
2_14_11,643442.762,3408707.615,56.925
2_14_7,643440.478,3408700.880,61.142
2_15_20,643438.446,3408694.500,63.754
2_1_11,643531.676,3408718.928,65.142
2_9_11,643478.358,3408734.064,65.402
1_1_13,643545.699,3408816.839,66.292
1_2_15,643533.784,3408791.394,59.750
2_5_18,643488.999,3408724.102,66.225
2_13_18,643456.250,3408740.200,59.680
2_10_18,643463.149,3408694.639,66.587
1_14_19,643441.801,3408817.617,65.815
1_8_19,643489.726,3408767.977,62.794
1_2_2,643542.803,3408803.152,66.056
1_8_20,643500.595,3408742.263,64.383
1_12_20,643450.466,3408762.391,59.488
2_6_3,643502.014,3408705.776,69.291
1_1_4,643552.634,3408815.272,66.921
2_7_5,643479.310,3408667.847,62.836
1_2_5,643544.569,3408810.215,67.340
1_4_5,643516.075,3408752.416,65.272
1_2_7,643539.478,3408790.322,60.034
1_8_7,643494.369,3408743.576,66.187
2_7_7,643481.528,3408674.741,62.199
2_13_8,643450.585,3408741.529,58.923
2_5_9,643504.301,3408712.343,70.586
2_6_9,643497.391,3408685.090,64.521
1_3_9,643537.677,3408783.449,66.341
1_1_16,643556.256,3408828.729,65.131
1_1_5,643552.795,3408836.744,62.896
1_5_1,643518.042,3408846.781,62.277
1_5_6,643511.792,3408848.724,66.211
1_5_19,643506.050,3408849.829,62.311
1_9_4,643500.454,3408852.036,66.423
1_9_18,643495.356,3408852.989,66.510
1_9_14,643488.903,3408854.467,66.188
1_9_2,643483.450,3408856.804,66.287
1_9_6,643478.238,3408859.049,64.484
1_9_7,643475.360,3408851.157,63.747
1_13_11,643458.093,3408856.433,61.187
1_13_4,643460.814,3408864.067,60.637
1_13_19,643455.181,3408865.428,60.305
1_13_15,643449.318,3408867.201,58.320
1_13_9,643447.078,3408859.541,60.462
1_13_14,643452.570,3408857.971,59.742
1_13_17,643450.980,3408850.942,61.072
1_13_13,643445.128,3408853.082,60.813
1_13_10,643442.963,3408846.987,61.834
